timestamp,usuario,ip,estado,hora,puerto,pais
2026-05-21 02:10:22,admin1,45.33.22.1,fallo,2,22,rusia
2026-05-21 02:11:10,admin1,45.33.22.1,fallo,2,22,rusia
2026-05-21 02:12:05,admin1,45.33.22.1,fallo,2,22,rusia
2026-05-21 02:13:44,admin1,45.33.22.1,exito,2,22,rusia
2026-05-21 10:12:00,user1,192.168.1.10,exito,10,443,argentina
2026-05-21 10:13:20,user1,192.168.1.11,exito,10,443,argentina
2026-05-21 23:30:10,admin2,10.0.0.8,exito,23,443,argentina
2026-05-21 03:12:55,hacker1,123.55.77.9,fallo,3,22,china
2026-05-21 03:13:55,hacker1,123.55.77.9,fallo,3,22,china
2026-05-21 03:14:55,hacker1,123.55.77.9,fallo,3,22,china
2026-05-21 03:15:55,hacker1,123.55.77.9,fallo,3,22,china
2026-05-21 03:16:55,hacker1,123.55.77.9,fallo,3,22,china
2026-05-21 15:22:01,empleado1,172.16.0.15,exito,15,443,argentina
2026-05-21 04:20:10,unknown,201.44.90.2,fallo,4,3389,brasil
2026-05-21 04:21:10,unknown,201.44.90.2,fallo,4,3389,brasil
2026-05-21 04:22:10,unknown,201.44.90.2,fallo,4,3389,brasil
2026-05-21 09:15:00,devops1,88.22.11.5,exito,9,443,espana
2026-05-21 09:16:10,devops1,88.22.11.5,exito,9,443,espana
2026-05-21 01:05:30,root,66.66.66.66,fallo,1,22,rusia
2026-05-21 01:06:30,root,66.66.66.66,fallo,1,22,rusia
2026-05-21 01:07:30,root,66.66.66.66,fallo,1,22,rusia
2026-05-21 01:08:30,root,66.66.66.66,fallo,1,22,rusia
2026-05-21 01:09:30,root,66.66.66.66,fallo,1,22,rusia
2026-05-21 01:10:30,root,66.66.66.66,exito,1,22,rusia
2026-05-21 12:45:10,user2,192.168.0.15,exito,12,443,argentina
2026-05-21 12:50:40,user2,192.168.0.15,fallo,12,443,argentina
2026-05-21 18:30:00,admin3,177.22.1.9,exito,18,443,argentina
2026-05-21 19:45:00,admin3,177.22.1.9,exito,19,443,argentina
2026-05-21 05:14:22,testuser,111.90.22.1,fallo,5,3389,china
2026-05-21 05:15:22,testuser,111.90.22.1,fallo,5,3389,china
2026-05-21 05:16:22,testuser,111.90.22.1,fallo,5,3389,china
2026-05-21 14:10:00,soporte1,10.10.10.4,exito,14,443,argentina
2026-05-21 14:11:00,soporte1,10.10.10.8,exito,14,443,argentina
2026-05-21 21:00:00,guest,200.10.55.8,fallo,21,22,brasil
2026-05-21 21:01:00,guest,200.10.55.8,fallo,21,22,brasil
2026-05-21 21:02:00,guest,200.10.55.8,fallo,21,22,brasil
2026-05-21 21:03:00,guest,200.10.55.8,exito,21,22,brasil
